year,county,avg_price,median_price,num_sales
2018,Wexford,173388.0,165000.0,694
2018,Wicklow,331451.0,281938.0,633
2019,Carlow,178781.0,174724.0,258
2019,Cavan,149066.0,133375.0,314
2019,Clare,177809.0,170000.0,455
2019,Cork,249523.0,230000.0,2438
2019,Donegal,126336.0,117000.0,592
2019,Dublin,413066.0,337000.0,6814
2019,Galway,246803.0,216000.0,1055
2019,Kerry,181686.0,165000.0,622
2019,Kildare,288650.0,270000.0,1329
2019,Kilkenny,197019.0,179000.0,349
2019,Laois,171129.0,165000.0,362
2019,Leitrim,110066.0,105000.0,197
2019,Limerick,205253.0,180000.0,824
2019,Longford,127415.0,117500.0,176
2019,Louth,208099.0,200000.0,707
2019,Mayo,135557.0,127500.0,503
2019,Meath,274907.0,260000.0,1053
2019,Monaghan,167305.0,152500.0,137
2019,Offaly,161383.0,151500.0,274
2019,Roscommon,126214.0,109000.0,308
2019,Sligo,148499.0,125000.0,340
2019,Tipperary,152318.0,136282.0,658
2019,Waterford,182547.0,167000.0,564
2019,Westmeath,173239.0,156000.0,583
2019,Wexford,186325.0,172000.0,733
2019,Wicklow,348972.0,297000.0,717
2020,Carlow,210371.0,182690.0,188
2020,Cavan,187588.0,135000.0,254
2020,Clare,182765.0,170000.0,400
2020,Cork,254849.0,247776.0,2002
2020,Donegal,137101.0,120000.0,477
2020,Dublin,430494.0,355000.0,5426
2020,Galway,236018.0,214594.0,904
2020,Kerry,196835.0,165000.0,479
2020,Kildare,313220.0,297143.0,1008
2020,Kilkenny,208402.0,188500.0,256
2020,Laois,210565.0,180808.0,268
2020,Leitrim,122070.0,102000.0,147
2020,Limerick,211939.0,195000.0,676
2020,Longford,114032.0,97500.0,150
2020,Louth,220821.0,198106.0,498
2020,Mayo,138482.0,125000.0,451
2020,Meath,285026.0,255507.0,842
2020,Monaghan,135404.0,115000.0,130
2020,Offaly,166187.0,159000.0,225
2020,Roscommon,121635.0,101250.0,268
2020,Sligo,158593.0,133750.0,216
2020,Tipperary,161045.0,150000.0,477
2020,Waterford,208685.0,185000.0,483
2020,Westmeath,190425.0,185000.0,350
2020,Wexford,192698.0,182000.0,701
2020,Wicklow,363862.0,320000.0,642
2021,Carlow,236820.0,170903.0,84
2021,Cavan,144621.0,140000.0,121
2021,Clare,186544.0,172500.0,148
